,Method,PID Length,Elasped Time (µs)
244,SHA3-384,81,49
245,SHA3-512,81,52
246,SHA3-256,82,47
247,SHA3-384,82,49
248,SHA3-512,82,53
249,SHA3-256,83,58
250,SHA3-384,83,44
251,SHA3-512,83,46
252,SHA3-256,84,48
253,SHA3-384,84,50
254,SHA3-512,84,53
255,SHA3-256,85,49
256,SHA3-384,85,44
257,SHA3-512,85,47
258,SHA3-256,86,43
259,SHA3-384,86,45
260,SHA3-512,86,54
261,SHA3-256,87,49
262,SHA3-384,87,45
263,SHA3-512,87,48
264,SHA3-256,88,44
265,SHA3-384,88,46
266,SHA3-512,88,48
267,SHA3-256,89,50
268,SHA3-384,89,45
269,SHA3-512,89,49
270,SHA3-256,90,44
271,SHA3-384,90,46
272,SHA3-512,90,49
273,SHA3-256,91,50
274,SHA3-384,91,46
275,SHA3-512,91,49
276,SHA3-256,92,44
277,SHA3-384,92,46
278,SHA3-512,92,49
279,SHA3-256,93,51
280,SHA3-384,93,53
281,SHA3-512,93,49
282,SHA3-256,94,44
283,SHA3-384,94,53
284,SHA3-512,94,50
285,SHA3-256,95,51
286,SHA3-384,95,53
287,SHA3-512,95,50
288,SHA3-256,96,45
289,SHA3-384,96,48
290,SHA3-512,96,50
291,SHA3-256,97,68
292,SHA3-384,97,54
293,SHA3-512,97,51
294,SHA3-256,98,45
295,SHA3-384,98,48
296,SHA3-512,98,51
297,SHA3-256,99,46
298,SHA3-384,99,55
299,SHA3-512,99,51
300,SHA3-256,100,47
301,SHA3-384,100,49
302,SHA3-512,100,52
