Method,PID Length,Elasped Time,Hash Elapsed,Sign Elapsed,Encr Elapsed,Decr Elapsed,Veri Elapsed
Full,0,0.032943,5e-06,0.001134,0.011306,0.020217,0.000281
Full,1,0.052153,1e-06,0.003506,0.01773,0.030675,0.000241
